#T      BLOCK:   ACTUAL_X:      X_AVE:      ERROR:
            1.04               5         6.49124         6.56547       0.0662776
            1.04               6         6.64301         6.57839       0.0564772
            1.04               7         6.43844          6.5584       0.0518273
            1.04               8         6.63684          6.5682       0.0462672
            1.04               9         6.90448         6.60557       0.0541511
            1.04              10          6.6342         6.60843       0.0488116
            1.04              11         6.57344         6.60525       0.0444777
            1.04              12          6.3948         6.58771       0.0440933
            1.04              13         6.59679         6.58841        0.040707
            1.04              14         6.13995         6.55638       0.0488017
            1.04              15         6.31927         6.54057       0.0480402
            1.04              16         6.48445         6.53706       0.0451655
